Id,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient
707,0.0,0.0,0.0,0.0
708,0.0,0.0,0.0,0.16666667
709,4.0,2.357142857142857,2321.416666666667,0.033333335
710,3.0,1.75,697.45,0.0952381
711,5.0,2.8823529411764706,1145.9333333333334,0.007575758
712,4.0,2.0,1719.95,0.0
713,4.0,2.3461538461538463,3480.5666666666666,0.0049261083
714,0.0,0.0,0.0,0.0
715,0.0,0.0,0.0,0.0
716,0.0,0.0,0.0,0.0
717,0.0,0.0,0.0,0.0
718,1.0,1.0,164.0,0.0
719,0.0,0.0,0.0,0.0
720,1.0,1.0,173.0,0.0
721,1.0,1.0,304.5,0.0
722,1.0,1.0,46.0,0.0
723,0.0,0.0,0.0,0.0
724,0.0,0.0,0.0,0.0
725,0.0,0.0,0.0,0.0
726,0.0,0.0,0.0,0.0
727,0.0,0.0,0.0,0.0
728,0.0,0.0,0.0,0.0
729,0.0,0.0,0.0,0.0
730,0.0,0.0,0.0,0.0
731,0.0,0.0,0.0,0.0
732,0.0,0.0,0.0,0.0
733,0.0,0.0,0.0,0.0
734,0.0,0.0,0.0,0.0
735,0.0,0.0,0.0,0.0
736,0.0,0.0,0.0,0.0
737,1.0,1.0,260.0,0.0
738,1.0,1.0,94.5,0.0
739,0.0,0.0,0.0,0.0
740,0.0,0.0,0.0,0.0
741,0.0,0.0,0.0,0.0
742,0.0,0.0,0.0,0.0
743,3.0,2.380952380952381,126.0,0.0
744,6.0,4.62962962962963,81.0,0.0
745,5.0,3.92,100.0,0.0
746,8.0,3.7049180327868854,214.33333333333331,0.0
747,4.0,3.1739130434782608,115.0,0.0
748,0.0,0.0,0.0,0.0
749,0.0,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0
751,0.0,0.0,0.0,0.0
752,0.0,0.0,0.0,0.0
753,0.0,0.0,0.0,0.0
754,0.0,0.0,0.0,0.0
755,0.0,0.0,0.0,0.0
756,0.0,0.0,0.0,0.0
757,0.0,0.0,0.0,0.0
758,0.0,0.0,0.0,0.0
759,0.0,0.0,0.0,0.0
760,0.0,0.0,0.0,0.0
761,1.0,1.0,63.0,0.1
762,1.0,1.0,10.0,0.0
763,1.0,1.0,10.0,0.0
764,6.0,2.53125,216.0,0.0
765,4.0,2.6272727272727274,765.2777777777777,0.0
766,6.0,2.484848484848485,186.0,0.0
767,0.0,0.0,0.0,0.0
768,1.0,1.0,70.0,0.004166667
769,7.0,3.9583333333333335,86.0,0.0
770,1.0,1.0,379.66666666666663,0.0
771,2.0,1.6666666666666667,13.0,0.0
772,2.0,1.45,140.0,0.0
773,2.0,1.0869565217391304,78.41111111111111,0.0
774,1.0,1.0,15.0,0.0
775,1.0,1.0,100.0,0.0
776,2.0,1.2285714285714286,2026.8,6.4935064E-4
777,2.0,1.1176470588235294,434.0,0.004166667
778,7.0,3.090909090909091,192.0,0.0
779,1.0,1.0,72.0,0.0
780,6.0,3.45,108.0,0.0
781,2.0,1.5,112.0,0.004761905
782,3.0,1.8645833333333333,1636.7999999999997,0.0012315271
783,0.0,0.0,0.0,0.0
784,1.0,1.0,91.0,0.0
785,7.0,2.75,417.57222222222225,0.0
786,7.0,3.4482758620689653,65.16666666666667,0.0
787,1.0,1.0,184.0,0.0
788,1.0,1.0,6.0,0.0
789,7.0,3.84,43.33333333333333,0.0
790,1.0,1.0,390.14444444444445,0.0
791,7.0,3.3666666666666667,249.66666666666666,0.0
792,0.0,0.0,0.0,0.0
793,6.0,3.227272727272727,840.2666666666667,0.0
794,0.0,0.0,0.0,0.0
795,21.0,14.788461538461538,139.0,0.0
796,8.0,4.3076923076923075,123.0,0.0
797,0.0,0.0,0.0,0.0
798,20.0,9.344398340248963,240.0,0.0
799,13.0,7.304347826086956,90.0,0.0
